DATE,CPIAUCSL
1947-01-01,22.0
1947-04-01,22.08
1947-07-01,22.84
1947-10-01,23.41
1948-01-01,23.5
1948-04-01,24.15
1948-07-01,24.36
1948-10-01,24.05
1949-01-01,23.91
1949-04-01,23.92
1949-07-01,23.75
1949-10-01,23.61
1950-01-01,23.64
1950-04-01,23.88
1950-07-01,24.34
1950-10-01,24.98
1951-01-01,25.88
1951-04-01,25.93
1951-07-01,26.03
1951-10-01,26.47
1952-01-01,26.39
1952-04-01,26.53
1952-07-01,26.63
1952-10-01,26.71
1953-01-01,26.63
1953-04-01,26.77
1953-07-01,26.89
1953-10-01,26.87
1954-01-01,26.93
1954-04-01,26.94
1954-07-01,26.81
1954-10-01,26.77
1955-01-01,26.79
1955-04-01,26.71
1955-07-01,26.85
1955-10-01,26.87
1956-01-01,26.89
1956-04-01,27.15
1956-07-01,27.35
1956-10-01,27.63
1957-01-01,27.86
1957-04-01,28.11
1957-07-01,28.32
1957-10-01,28.47
1958-01-01,28.87
1958-04-01,28.91
1958-07-01,28.91
1958-10-01,28.97
1959-01-01,28.97
1959-04-01,29.11
1959-07-01,29.25
1959-10-01,29.41
1960-01-01,29.41
1960-04-01,29.61
1960-07-01,29.61
1960-10-01,29.81
1961-01-01,29.84
1961-04-01,29.84
1961-07-01,29.98
1961-10-01,30.01
1962-01-01,30.17
1962-04-01,30.21
1962-07-01,30.42
1962-10-01,30.38
1963-01-01,30.51
1963-04-01,30.61
1963-07-01,30.72
1963-10-01,30.88
1964-01-01,30.94
1964-04-01,31.01
1964-07-01,31.08
1964-10-01,31.25
1965-01-01,31.31
1965-04-01,31.61
1965-07-01,31.62
1965-10-01,31.85
1966-01-01,32.18
1966-04-01,32.38
1966-07-01,32.75
1966-10-01,32.92
1967-01-01,33.0
1967-04-01,33.3
1967-07-01,33.6
1967-10-01,34.0
1968-01-01,34.3
1968-04-01,34.7
1968-07-01,35.1
1968-10-01,35.6
1969-01-01,36.1
1969-04-01,36.6
1969-07-01,37.1
1969-10-01,37.7
1970-01-01,38.3
1970-04-01,38.8
1970-07-01,39.2
1970-10-01,39.8
1971-01-01,40.0
1971-04-01,40.5
1971-07-01,40.8
1971-10-01,41.1
1972-01-01,41.4
1972-04-01,41.7
1972-07-01,42.1
1972-10-01,42.5
1973-01-01,43.4
1973-04-01,44.2
1973-07-01,45.2
1973-10-01,46.3
1974-01-01,47.8
1974-04-01,49.0
1974-07-01,50.6
1974-10-01,51.9
1975-01-01,52.8
1975-04-01,53.5
1975-07-01,54.6
1975-10-01,55.6
1976-01-01,56.0
1976-04-01,56.7
1976-07-01,57.6
1976-10-01,58.4
1977-01-01,59.6
1977-04-01,60.5
1977-07-01,61.3
1977-10-01,62.3
1978-01-01,63.4
1978-04-01,65.0
1978-07-01,66.5
1978-10-01,67.9
1979-01-01,69.9
1979-04-01,72.2
1979-07-01,74.4
1979-10-01,76.9
1980-01-01,80.1
1980-04-01,82.5
1980-07-01,83.9
1980-10-01,86.4
1981-01-01,88.6
1981-04-01,90.5
1981-07-01,93.1
1981-10-01,94.1
1982-01-01,94.7
1982-04-01,97.0
1982-07-01,97.7
1982-10-01,97.7
1983-01-01,98.1
1983-04-01,99.4
1983-07-01,100.4
1983-10-01,101.4
1984-01-01,102.9
1984-04-01,103.7
1984-07-01,104.7
1984-10-01,105.5
1985-01-01,106.8
1985-04-01,107.5
1985-07-01,108.1
1985-10-01,109.5
1986-01-01,109.1
1986-04-01,109.4
1986-07-01,110.0
1986-10-01,110.8
1987-01-01,112.2
1987-04-01,113.5
1987-07-01,114.7
1987-10-01,115.6
1988-01-01,116.5
1988-04-01,118.0
1988-07-01,119.5
1988-10-01,120.7
1989-01-01,122.2
1989-04-01,124.1
1989-07-01,124.8
1989-10-01,126.3
1990-01-01,128.6
1990-04-01,129.9
1990-07-01,132.5
1990-10-01,134.2
1991-01-01,134.8
1991-04-01,136.0
1991-07-01,137.0
1991-10-01,138.2
1992-01-01,139.1
1992-04-01,140.1
1992-07-01,141.1
1992-10-01,142.3
1993-01-01,143.3
1993-04-01,144.3
1993-07-01,145.0
1993-10-01,146.3
1994-01-01,147.1
1994-04-01,147.9
1994-07-01,149.3
1994-10-01,150.1
1995-01-01,151.2
1995-04-01,152.4
1995-07-01,153.1
1995-10-01,153.9
1996-01-01,155.5
1996-04-01,156.7
1996-07-01,157.7
1996-10-01,159.1
1997-01-01,159.8
1997-04-01,160.2
1997-07-01,161.2
1997-10-01,161.8
1998-01-01,162.0
1998-04-01,162.8
1998-07-01,163.5
1998-10-01,164.4
1999-01-01,164.8
1999-04-01,166.0
1999-07-01,167.8
1999-10-01,168.8
2000-01-01,171.0
2000-04-01,172.2
2000-07-01,173.6
2000-10-01,174.6
2001-01-01,176.1
2001-04-01,177.7
2001-07-01,178.1
2001-10-01,177.4
2002-01-01,178.5
2002-04-01,179.6
2002-07-01,180.8
2002-10-01,181.8
2003-01-01,183.900
2003-04-01,183.100
2003-07-01,185.100
2003-10-01,185.500
2004-01-01,187.100
2004-04-01,188.900
2004-07-01,189.800
2004-10-01,191.700
2005-01-01,193.100
2005-04-01,193.700
2005-07-01,198.800
2005-10-01,198.100
2006-01-01,199.700
2006-04-01,201.800
2006-07-01,202.800
2006-10-01,203.100
2007-01-01,205.288
2007-04-01,207.234
2007-07-01,208.547
2007-10-01,211.445
2008-01-01,213.448
2008-04-01,217.463
2008-07-01,218.877
2008-10-01,211.398
2009-01-01,212.495
2009-04-01,214.790
2009-07-01,215.861
2009-10-01,217.347
2010-01-01,217.353
2010-04-01,217.199
2010-07-01,218.275
2010-10-01,220.472
2011-01-01,223.046
